i,Name/Title,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,URL,Comments,"Task Color"
1,"24 School",2017-03-25,2017-05-31,0,0,,,,,,,
1.1,Design,2017-03-25,2017-04-15,0,0,0,,,,,,
1.1.1,"Use Case",2017-03-25,2017-03-27,0,0,0,,,,,,blue2
1.1.2,"Database Design",2017-03-28,2017-04-08,0,0,0,,,,,,blue2
1.1.3,"Class Diagram",2017-03-28,2017-04-08,0,0,0,,,,,,blue2
1.1.4,"Gui Design",2017-04-09,2017-04-15,0,0,0,,,,,,blue2
1.2,Resource,2017-04-16,2017-04-23,0,0,0,,,,,,
1.2.1,"Collecting resource",2017-04-16,2017-04-23,0,0,0,,,,,,blue2
1.3,Development,2017-04-24,2017-05-23,0,0,0,,,,,,
1.3.1,"Task1(Login,Sign up)",2017-04-24,2017-04-26,0,0,0,,,,,,blue2
1.3.2,Task6(Forum),2017-04-27,2017-05-04,0,0,0,,,,,,blue2
1.3.3,"Task7(Messaging System)",2017-05-05,2017-05-13,0,0,0,,,,,,blue2
1.3.4,Task9(Rating),2017-05-14,2017-05-17,0,0,0,,1.3.2,,,,blue2
1.3.5,"Task2(Git account)",2017-04-24,2017-04-30,0,0,0,,,,,,blue2
1.3.6,"Task4(Project Management)",2017-05-01,2017-05-13,0,0,0,,1.3.5,,,,blue2
1.3.7,"Task12(Course Creation)",2017-05-14,2017-05-20,0,0,0,,1.3.6,,,,blue2
1.3.8,Task3(Canvas),2017-04-24,2017-05-08,0,0,0,,,,,,blue2
1.3.9,Task5(CodeSharing),2017-05-09,2017-05-18,0,0,0,,,,,,blue2
1.3.10,Task8(Search),2017-05-19,2017-05-21,0,0,0,,1.1.3,,,,blue2
1.3.11,"Task10(Course page:Video)",2017-05-22,2017-05-23,0,0,0,,1.3.7,,,,blue2
1.4,Integration,2017-05-24,2017-05-29,0,0,0,,,,,,
1.4.1,Merging,2017-05-24,2017-05-29,0,0,0,,,,,,blue2
1.5,Testing,2017-05-30,2017-05-31,0,0,0,,,,,,
1.5.1,"Testing Task",2017-05-30,2017-05-31,0,0,0,,,,,,blue2
